reg;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
84;2021-02-12-2021-02-18;09;402;61.9;186;46.3;12;3;17;4.2;187;46.5
84;2021-02-12-2021-02-18;19;1128;57.4;532;47.2;36;3.2;39;3.5;521;46.2
84;2021-02-12-2021-02-18;29;1301;56.8;564;43.4;51;3.9;61;4.7;625;48
84;2021-02-12-2021-02-18;39;1330;55.8;609;45.8;43;3.2;50;3.8;628;47.2
84;2021-02-12-2021-02-18;49;1394;58.4;588;42.2;45;3.2;52;3.7;709;50.9
84;2021-02-12-2021-02-18;59;1353;57.8;546;40.4;50;3.7;49;3.6;708;52.3
84;2021-02-12-2021-02-18;69;851;56.1;291;34.2;17;2;39;4.6;504;59.2
84;2021-02-12-2021-02-18;79;667;59.4;215;32.2;12;1.8;42;6.3;398;59.7
84;2021-02-12-2021-02-18;89;488;53.8;123;25.2;9;1.8;35;7.2;321;65.8
84;2021-02-12-2021-02-18;90;272;54.2;58;21.3;1;0.4;24;8.8;189;69.5
84;2021-02-13-2021-02-19;09;447;67.7;199;44.5;16;3.6;23;5.1;209;46.8
84;2021-02-13-2021-02-19;19;1281;63.5;610;47.6;42;3.3;48;3.7;581;45.4
84;2021-02-13-2021-02-19;29;1426;61.8;610;42.8;48;3.4;75;5.3;693;48.6
84;2021-02-13-2021-02-19;39;1502;61;675;44.9;49;3.3;69;4.6;709;47.2
84;2021-02-13-2021-02-19;49;1504;62.4;637;42.4;52;3.5;69;4.6;746;49.6
84;2021-02-13-2021-02-19;59;1499;63.1;611;40.8;57;3.8;66;4.4;765;51
84;2021-02-13-2021-02-19;69;973;62.5;329;33.8;20;2.1;50;5.1;574;59
84;2021-02-13-2021-02-19;79;765;63.5;254;33.2;13;1.7;42;5.5;456;59.6
84;2021-02-13-2021-02-19;89;553;59.5;136;24.6;11;2;36;6.5;370;66.9
84;2021-02-13-2021-02-19;90;299;60.4;70;23.4;1;0.3;32;10.7;196;65.6
84;2021-02-14-2021-02-20;09;475;70.6;218;45.9;18;3.8;23;4.8;216;45.5
84;2021-02-14-2021-02-20;19;1348;65.1;652;48.4;46;3.4;53;3.9;597;44.3
84;2021-02-14-2021-02-20;29;1477;63.1;637;43.1;52;3.5;75;5.1;713;48.3
84;2021-02-14-2021-02-20;39;1580;63.4;723;45.8;48;3;71;4.5;738;46.7
84;2021-02-14-2021-02-20;49;1558;63.6;671;43.1;49;3.1;74;4.7;764;49
84;2021-02-14-2021-02-20;59;1547;64.2;627;40.5;62;4;71;4.6;787;50.9
84;2021-02-14-2021-02-20;69;1004;64.1;343;34.2;23;2.3;52;5.2;586;58.4
84;2021-02-14-2021-02-20;79;769;64.6;257;33.4;13;1.7;40;5.2;459;59.7
84;2021-02-14-2021-02-20;89;573;62.1;146;25.5;9;1.6;33;5.8;385;67.2
84;2021-02-14-2021-02-20;90;301;62.7;73;24.3;1;0.3;30;10;197;65.4
84;2021-02-15-2021-02-21;09;476;70.5;220;46.2;19;4;23;4.8;214;45
84;2021-02-15-2021-02-21;19;1355;65.2;660;48.7;47;3.5;54;4;594;43.8
84;2021-02-15-2021-02-21;29;1480;63;637;43;52;3.5;74;5;717;48.4
84;2021-02-15-2021-02-21;39;1581;63.3;719;45.5;49;3.1;73;4.6;740;46.8
84;2021-02-15-2021-02-21;49;1566;63.8;672;42.9;53;3.4;75;4.8;766;48.9
84;2021-02-15-2021-02-21;59;1560;64.7;639;41;62;4;72;4.6;787;50.4
84;2021-02-15-2021-02-21;69;1012;64.9;348;34.4;25;2.5;52;5.1;587;58
84;2021-02-15-2021-02-21;79;785;65.1;262;33.4;13;1.7;42;5.4;468;59.6
84;2021-02-15-2021-02-21;89;584;63.3;148;25.3;9;1.5;31;5.3;396;67.8
84;2021-02-15-2021-02-21;90;308;64.3;74;24;2;0.6;32;10.4;200;64.9
84;2021-02-16-2021-02-22;09;485;70.6;238;49.1;19;3.9;29;6;199;41
84;2021-02-16-2021-02-22;19;1459;66.6;752;51.5;45;3.1;69;4.7;593;40.6
84;2021-02-16-2021-02-22;29;1498;63.1;699;46.7;52;3.5;71;4.7;676;45.1
84;2021-02-16-2021-02-22;39;1655;64.4;771;46.6;53;3.2;72;4.4;759;45.9
84;2021-02-16-2021-02-22;49;1557;63.8;701;45;58;3.7;81;5.2;717;46.1
84;2021-02-16-2021-02-22;59;1604;66.7;683;42.6;66;4.1;76;4.7;779;48.6
84;2021-02-16-2021-02-22;69;1052;65;396;37.6;26;2.5;51;4.8;579;55
84;2021-02-16-2021-02-22;79;770;64.2;270;35.1;13;1.7;42;5.5;445;57.8
84;2021-02-16-2021-02-22;89;576;65.3;159;27.6;9;1.6;29;5;379;65.8
84;2021-02-16-2021-02-22;90;295;63.4;80;27.1;4;1.4;25;8.5;186;63.1
84;2021-02-17-2021-02-23;09;515;70.8;267;51.8;18;3.5;30;5.8;200;38.8
84;2021-02-17-2021-02-23;19;1543;67.9;812;52.6;52;3.4;77;5;602;39
84;2021-02-17-2021-02-23;29;1534;63.5;741;48.3;53;3.5;84;5.5;656;42.8
84;2021-02-17-2021-02-23;39;1702;65.3;821;48.2;60;3.5;77;4.5;744;43.7
84;2021-02-17-2021-02-23;49;1587;63.8;755;47.6;57;3.6;83;5.2;692;43.6
84;2021-02-17-2021-02-23;59;1604;67.6;722;45;63;3.9;80;5;739;46.1
84;2021-02-17-2021-02-23;69;1079;65.7;450;41.7;31;2.9;52;4.8;546;50.6
84;2021-02-17-2021-02-23;79;786;63.8;287;36.5;13;1.7;48;6.1;438;55.7
84;2021-02-17-2021-02-23;89;579;66.5;164;28.3;8;1.4;33;5.7;374;64.6
84;2021-02-17-2021-02-23;90;291;65;72;24.7;5;1.7;25;8.6;189;64.9
84;2021-02-18-2021-02-24;09;550;71.8;297;54;16;2.9;27;4.9;210;38.2
84;2021-02-18-2021-02-24;19;1642;68.5;846;51.5;55;3.3;87;5.3;654;39.8
84;2021-02-18-2021-02-24;29;1592;63.3;793;49.8;52;3.3;105;6.6;642;40.3
84;2021-02-18-2021-02-24;39;1729;64.9;837;48.4;68;3.9;82;4.7;742;42.9
84;2021-02-18-2021-02-24;49;1582;63.3;798;50.4;55;3.5;85;5.4;644;40.7
84;2021-02-18-2021-02-24;59;1622;67.4;766;47.2;64;3.9;85;5.2;707;43.6
84;2021-02-18-2021-02-24;69;1079;65.3;485;44.9;30;2.8;62;5.7;502;46.5
84;2021-02-18-2021-02-24;79;778;63.7;305;39.2;15;1.9;49;6.3;409;52.6
84;2021-02-18-2021-02-24;89;566;65.6;171;30.2;10;1.8;39;6.9;346;61.1
84;2021-02-18-2021-02-24;90;272;62.7;68;25;5;1.8;25;9.2;174;64
84;2021-02-19-2021-02-25;09;552;71.6;308;55.8;20;3.6;30;5.4;194;35.1
84;2021-02-19-2021-02-25;19;1671;69.1;860;51.5;55;3.3;102;6.1;654;39.1
84;2021-02-19-2021-02-25;29;1626;63.7;807;49.6;53;3.3;124;7.6;642;39.5
84;2021-02-19-2021-02-25;39;1746;64.6;863;49.4;64;3.7;102;5.8;717;41.1
84;2021-02-19-2021-02-25;49;1592;63.6;826;51.9;67;4.2;100;6.3;599;37.6
84;2021-02-19-2021-02-25;59;1640;67;787;48;70;4.3;105;6.4;678;41.3
84;2021-02-19-2021-02-25;69;1084;65.8;491;45.3;34;3.1;70;6.5;489;45.1
84;2021-02-19-2021-02-25;79;782;62.4;333;42.6;12;1.5;54;6.9;383;49
84;2021-02-19-2021-02-25;89;557;66.6;180;32.3;12;2.2;39;7;326;58.5
84;2021-02-19-2021-02-25;90;257;62.5;72;28;4;1.6;24;9.3;157;61.1
84;2021-02-20-2021-02-26;09;571;72.1;341;59.7;19;3.3;29;5.1;182;31.9
84;2021-02-20-2021-02-26;19;1672;69.4;864;51.7;71;4.2;114;6.8;623;37.3
84;2021-02-20-2021-02-26;29;1631;63.5;832;51;66;4;128;7.8;605;37.1
84;2021-02-20-2021-02-26;39;1684;63.6;867;51.5;62;3.7;98;5.8;657;39
84;2021-02-20-2021-02-26;49;1605;64.1;857;53.4;76;4.7;100;6.2;572;35.6
84;2021-02-20-2021-02-26;59;1641;67.1;802;48.9;70;4.3;103;6.3;666;40.6
84;2021-02-20-2021-02-26;69;1067;65.9;509;47.7;34;3.2;68;6.4;456;42.7
84;2021-02-20-2021-02-26;79;758;62.3;335;44.2;15;2;62;8.2;346;45.6
84;2021-02-20-2021-02-26;89;533;65.7;190;35.6;9;1.7;43;8.1;291;54.6
84;2021-02-20-2021-02-26;90;242;63;67;27.7;4;1.7;19;7.9;152;62.8
84;2021-02-21-2021-02-27;09;576;72;354;61.5;18;3.1;30;5.2;174;30.2
84;2021-02-21-2021-02-27;19;1657;69.7;860;51.9;66;4;118;7.1;613;37
84;2021-02-21-2021-02-27;29;1645;63.8;863;52.5;66;4;142;8.6;574;34.9
84;2021-02-21-2021-02-27;39;1643;62.6;851;51.8;60;3.7;99;6;633;38.5
84;2021-02-21-2021-02-27;49;1604;64.4;869;54.2;81;5;102;6.4;552;34.4
84;2021-02-21-2021-02-27;59;1629;67;817;50.2;66;4.1;111;6.8;635;39
84;2021-02-21-2021-02-27;69;1061;66.2;516;48.6;36;3.4;70;6.6;439;41.4
84;2021-02-21-2021-02-27;79;764;62.2;344;45;17;2.2;64;8.4;339;44.4
84;2021-02-21-2021-02-27;89;525;65.8;194;37;9;1.7;43;8.2;279;53.1
84;2021-02-21-2021-02-27;90;237;63;64;27;5;2.1;20;8.4;148;62.4
84;2021-02-22-2021-02-28;09;575;71.7;351;61;18;3.1;30;5.2;176;30.6
84;2021-02-22-2021-02-28;19;1654;69.7;858;51.9;64;3.9;118;7.1;614;37.1
84;2021-02-22-2021-02-28;29;1648;63.7;864;52.4;66;4;143;8.7;575;34.9
84;2021-02-22-2021-02-28;39;1649;63.1;859;52.1;58;3.5;98;5.9;634;38.4
84;2021-02-22-2021-02-28;49;1601;64.5;870;54.3;79;4.9;102;6.4;550;34.4
84;2021-02-22-2021-02-28;59;1619;66.7;810;50;67;4.1;111;6.9;631;39
84;2021-02-22-2021-02-28;69;1056;66.2;515;48.8;35;3.3;71;6.7;435;41.2
84;2021-02-22-2021-02-28;79;752;61.8;343;45.6;17;2.3;62;8.2;330;43.9
84;2021-02-22-2021-02-28;89;517;64.9;196;37.9;11;2.1;43;8.3;267;51.6
84;2021-02-22-2021-02-28;90;239;62.7;66;27.6;4;1.7;23;9.6;146;61.1
84;2021-02-23-2021-03-01;09;573;72.1;350;61.1;21;3.7;33;5.8;169;29.5
84;2021-02-23-2021-03-01;19;1578;70;826;52.3;69;4.4;115;7.3;568;36
84;2021-02-23-2021-03-01;29;1692;65.5;912;53.9;65;3.8;163;9.6;552;32.6
84;2021-02-23-2021-03-01;39;1625;65.1;907;55.8;62;3.8;111;6.8;545;33.5
84;2021-02-23-2021-03-01;49;1612;66.6;910;56.5;74;4.6;107;6.6;521;32.3
84;2021-02-23-2021-03-01;59;1574;67;833;52.9;66;4.2;113;7.2;562;35.7
84;2021-02-23-2021-03-01;69;1068;67.8;544;50.9;41;3.8;74;6.9;409;38.3
84;2021-02-23-2021-03-01;79;768;64.1;379;49.3;20;2.6;57;7.4;312;40.6
84;2021-02-23-2021-03-01;89;493;65;187;37.9;9;1.8;45;9.1;252;51.1
84;2021-02-23-2021-03-01;90;211;63.7;54;25.6;4;1.9;25;11.8;128;60.7
84;2021-02-24-2021-03-02;09;559;72.4;346;61.9;22;3.9;36;6.4;155;27.7
84;2021-02-24-2021-03-02;19;1511;69.1;811;53.7;57;3.8;115;7.6;528;34.9
84;2021-02-24-2021-03-02;29;1713;66.2;936;54.6;68;4;186;10.9;523;30.5
84;2021-02-24-2021-03-02;39;1583;65;917;57.9;67;4.2;119;7.5;480;30.3
84;2021-02-24-2021-03-02;49;1600;67.5;908;56.8;74;4.6;120;7.5;498;31.1
84;2021-02-24-2021-03-02;59;1542;66.6;839;54.4;62;4;121;7.8;520;33.7
84;2021-02-24-2021-03-02;69;1041;67.5;545;52.4;37;3.6;82;7.9;377;36.2
84;2021-02-24-2021-03-02;79;749;65;388;51.8;22;2.9;60;8;279;37.2
84;2021-02-24-2021-03-02;89;484;65.4;181;37.4;11;2.3;45;9.3;247;51
84;2021-02-24-2021-03-02;90;182;59.1;56;30.8;4;2.2;21;11.5;101;55.5
84;2021-02-25-2021-03-03;09;544;72.1;330;60.7;23;4.2;45;8.3;146;26.8
84;2021-02-25-2021-03-03;19;1447;68.3;824;56.9;58;4;107;7.4;458;31.7
84;2021-02-25-2021-03-03;29;1686;66.7;965;57.2;64;3.8;180;10.7;477;28.3
84;2021-02-25-2021-03-03;39;1601;66.3;976;61;63;3.9;130;8.1;432;27
84;2021-02-25-2021-03-03;49;1580;68;928;58.7;71;4.5;115;7.3;466;29.5
84;2021-02-25-2021-03-03;59;1505;66.2;845;56.1;53;3.5;124;8.2;483;32.1
84;2021-02-25-2021-03-03;69;998;67.8;556;55.7;41;4.1;71;7.1;330;33.1
84;2021-02-25-2021-03-03;79;744;64.9;400;53.8;26;3.5;54;7.3;264;35.5
84;2021-02-25-2021-03-03;89;457;65;182;39.8;11;2.4;42;9.2;222;48.6
84;2021-02-25-2021-03-03;90;172;60.4;60;34.9;5;2.9;20;11.6;87;50.6
84;2021-02-26-2021-03-04;09;556;71.5;348;62.6;23;4.1;46;8.3;139;25
84;2021-02-26-2021-03-04;19;1442;67.4;861;59.7;59;4.1;107;7.4;415;28.8
84;2021-02-26-2021-03-04;29;1660;66.3;1002;60.4;67;4;173;10.4;418;25.2
84;2021-02-26-2021-03-04;39;1599;65.9;1003;62.7;70;4.4;120;7.5;406;25.4
84;2021-02-26-2021-03-04;49;1561;67.3;953;61.1;65;4.2;104;6.7;439;28.1
84;2021-02-26-2021-03-04;59;1462;66.9;860;58.8;50;3.4;115;7.9;437;29.9
84;2021-02-26-2021-03-04;69;1002;67.8;577;57.6;41;4.1;69;6.9;315;31.4
84;2021-02-26-2021-03-04;79;708;65;391;55.2;24;3.4;46;6.5;247;34.9
84;2021-02-26-2021-03-04;89;440;63.7;178;40.5;12;2.7;50;11.4;200;45.5
84;2021-02-26-2021-03-04;90;187;62.5;70;37.4;5;2.7;22;11.8;90;48.1
84;2021-02-27-2021-03-05;09;566;70.2;362;64;24;4.2;48;8.5;132;23.3
84;2021-02-27-2021-03-05;19;1414;66.7;886;62.7;43;3;109;7.7;376;26.6
