reg;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
84;2021-02-18-2021-02-24;49;1577;63.2;797;50.5;55;3.5;84;5.3;641;40.6
84;2021-02-18-2021-02-24;59;1617;67.3;766;47.4;64;4;83;5.1;704;43.5
84;2021-02-18-2021-02-24;69;1075;65.3;485;45.1;29;2.7;62;5.8;499;46.4
84;2021-02-18-2021-02-24;79;772;63.5;303;39.2;15;1.9;48;6.2;406;52.6
84;2021-02-18-2021-02-24;89;560;65.9;170;30.4;11;2;37;6.6;342;61.1
84;2021-02-18-2021-02-24;90;266;62;68;25.6;5;1.9;24;9;169;63.5
84;2021-02-19-2021-02-25;09;549;71.2;308;56.1;20;3.6;28;5.1;193;35.2
84;2021-02-19-2021-02-25;19;1665;68.9;858;51.5;55;3.3;99;5.9;653;39.2
84;2021-02-19-2021-02-25;29;1626;63.7;807;49.6;53;3.3;124;7.6;642;39.5
84;2021-02-19-2021-02-25;39;1742;64.5;863;49.5;64;3.7;99;5.7;716;41.1
84;2021-02-19-2021-02-25;49;1587;63.5;825;52;67;4.2;98;6.2;597;37.6
84;2021-02-19-2021-02-25;59;1634;66.8;787;48.2;70;4.3;102;6.2;675;41.3
84;2021-02-19-2021-02-25;69;1081;65.8;491;45.4;33;3.1;70;6.5;487;45.1
84;2021-02-19-2021-02-25;79;777;62.4;331;42.6;12;1.5;53;6.8;381;49
84;2021-02-19-2021-02-25;89;553;67.2;179;32.4;13;2.4;38;6.9;323;58.4
84;2021-02-19-2021-02-25;90;254;62.3;72;28.3;4;1.6;24;9.4;154;60.6
84;2021-02-20-2021-02-26;09;568;71.7;341;60;19;3.3;27;4.8;181;31.9
84;2021-02-20-2021-02-26;19;1667;69.3;863;51.8;71;4.3;111;6.7;622;37.3
84;2021-02-20-2021-02-26;29;1630;63.5;831;51;66;4;128;7.9;605;37.1
84;2021-02-20-2021-02-26;39;1682;63.5;868;51.6;62;3.7;95;5.6;657;39.1
